rec,val.tz.name,val.tz.utc-offset,val.sch.scs-particulates.tally,val.sch.scs-particulates.interval,val.sch.scs-status.tally,val.sch.scs-status.interval,val.sch.scs-climate.tally,val.sch.scs-climate.interval,val.sch.scs-gases.tally,val.sch.scs-gases.interval,val.gps.pos:0,val.gps.pos:1,val.gps.elv,val.gps.qual,val.airnow.site,tag
2020-01-10T15:01:00Z,Europe/London,+00:00,1.0,10.0,1.0,60.0,1.0,60.0,1.0,10.0,50.83374613,-0.13895586,29.1,2.0,826987654321.0,scs-bgx-401
2020-01-10T15:02:00Z,Europe/London,+00:00,1.0,10.0,1.0,60.0,1.0,60.0,1.0,10.0,50.83374394,-0.13895337,28.4,2.0,826987654321.0,scs-bgx-401
2020-01-10T15:03:00Z,Europe/London,+00:00,1.0,10.0,1.0,60.0,1.0,60.0,1.0,10.0,50.83374032,-0.13894875,27.6,2.0,826987654321.0,scs-bgx-401
2020-01-10T15:04:00Z,Europe/London,+00:00,1.0,10.0,1.0,60.0,1.0,60.0,1.0,10.0,50.83373784,-0.13894137,27.2,2.0,826987654321.0,scs-bgx-401
2020-01-10T15:05:00Z,Europe/London,+00:00,1.0,10.0,1.0,60.0,1.0,60.0,1.0,10.0,50.83374,-0.13893541,26.9,2.0,826987654321.0,scs-bgx-401
2020-01-10T15:06:00Z,Europe/London,+00:00,1.0,10.0,1.0,60.0,1.0,60.0,1.0,10.0,50.83374011,-0.13894796,24.8,1.0,826987654321.0,scs-bgx-401
2020-01-10T15:07:00Z,Europe/London,+00:00,1.0,10.0,1.0,60.0,1.0,60.0,1.0,10.0,50.83373607,-0.13898056,20.7,1.0,826987654321.0,scs-bgx-401
2020-01-10T15:08:00Z,Europe/London,+00:00,1.0,10.0,1.0,60.0,1.0,60.0,1.0,10.0,50.8337319,-0.13899363,18.5,1.0,826987654321.0,scs-bgx-401
2020-01-10T15:09:00Z,Europe/London,+00:00,1.0,10.0,1.0,60.0,1.0,60.0,1.0,10.0,50.83372666,-0.13899217,16.2,1.0,826987654321.0,scs-bgx-401
2020-01-10T15:10:00Z,Europe/London,+00:00,1.0,10.0,1.0,60.0,1.0,60.0,1.0,10.0,50.83372446,-0.13899381,15.0,1.0,826987654321.0,scs-bgx-401
